project_name,version,class_name,wmc,rfc,loc,max_cc,avg_cc,cbo,ca,ce,ic,cbm,lcom,lcom3,dit,noc,mfa,npm,dam,moa,cam,amc,bug
openj9,unknown,com.ibm.cuda.CudaException,1,2,62,2,2.0,1,2,0,1,0,0,0,1,0,0.0,1,0.5,0,0,62.0,2
openj9,unknown,com.ibm.cuda.CudaSurface,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,2
openj9,unknown,com.ibm.cuda.CudaPermission,0,0,123,0,0,0,0,0,1,0,0,0,1,0,0,0,0.14285714285714285,6,0,0,4
openj9,unknown,com.ibm.cuda.CudaLinker,14,26,309,5,1.7142857142857142,12,0,0,0,13,91,1.0,0,0,0.0,9,1.0,2,0.24444444444444444,22.071428571428573,2
openj9,unknown,com.ibm.cuda.CudaModule,12,22,379,2,1.5,10,1,0,0,9,66,1.0,0,0,0.0,5,0.8333333333333334,5,0.44274809160305345,31.583333333333332,3
openj9,unknown,com.ibm.cuda.CudaGlobal,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,2
openj9,unknown,com.ibm.cuda.Cuda,9,14,225,2,1.1111111111111112,5,0,0,0,2,36,1.0,0,0,0.0,4,0,0,0.14285714285714285,25.0,3
openj9,unknown,com.ibm.cuda.CudaGrid,0,0,212,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,1,0,0,2
openj9,unknown,com.ibm.cuda.CudaStream,16,27,224,2,1.125,11,1,0,0,14,120,1.0,0,0,0.0,7,0.25,1,0.42574257425742573,14.0,2
openj9,unknown,com.ibm.cuda.CudaEvent,13,22,198,2,1.1538461538461537,9,0,0,0,13,78,1.0,0,0,0.0,6,0.3333333333333333,1,0.17333333333333334,15.23076923076923,2
openj9,unknown,com.ibm.cuda.CudaDevice,40,63,827,5,1.375,23,2,0,0,19,780,1.0,0,0,0.0,23,0.011235955056179775,0,0.2496124031007752,20.675,3
openj9,unknown,com.ibm.cuda.CudaKernel,5,9,493,1,1.0,4,1,0,0,5,10,1.0,0,0,0.0,5,1.0,1,0.037037037037037035,98.6,2
openj9,unknown,com.ibm.cuda.Dim3,0,0,85,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0,0,0,2
openj9,unknown,com.ibm.cuda.CudaTexture,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,2
openj9,unknown,com.ibm.cuda.CudaFunction,10,20,211,10,2.1,10,0,0,0,6,45,1.0,0,0,0.0,3,0.1111111111111111,0,0.14285714285714285,21.1,2
openj9,unknown,com.ibm.cuda.CudaBuffer,78,128,1972,4,1.6153846153846154,50,1,0,0,222,3003,1.0,0,0,0.0,52,1.0,3,0.18294849023090587,25.28205128205128,2
openj9,unknown,com.ibm.cuda.CudaJitOptions,30,44,482,5,1.3,14,0,0,0,24,435,1.0,0,0,0.0,17,1.0,3,0.13695090439276486,16.066666666666666,2
openj9,unknown,com.ibm.cuda.internal.CudaUtil,1,5,54,3,3.0,4,0,0,0,1,0,0,0,0,0.0,1,0,0,0,54.0,2
openj9,unknown,com.ibm.dataaccess.ExternalDecimal,2,4,171,16,10.5,2,0,0,0,1,1,1.0,0,0,0.0,1,1.0,0,1.0,85.5,1
openj9,unknown,com.ibm.dataaccess.DecimalData,59,113,2624,16,4.983050847457627,54,0,0,0,77,1711,1.0,0,0,0.0,28,0.64,0,0.506364428945074,44.47457627118644,5
openj9,unknown,com.ibm.dataaccess.CommonData,13,13,307,6,2.0,0,1,0,0,0,78,1.0,0,0,0.0,13,0.72,0,0.4444444444444444,23.615384615384617,2
openj9,unknown,com.ibm.dataaccess.ByteArrayUnmarshaller,16,25,651,25,5.375,9,0,0,0,24,120,1.0,0,0,0.0,8,0,0,1.0,40.6875,3
openj9,unknown,com.ibm.dataaccess.ByteArrayMarshaller,16,25,582,17,4.3125,9,0,0,0,18,120,1.0,0,0,0.0,8,0,0,0.7110266159695817,36.375,2
openj9,unknown,com.ibm.dataaccess.PackedDecimal,47,105,2074,33,5.1063829787234045,58,0,1,0,74,1081,1.0,0,0,0.0,18,1.0,3,0.6341539420380181,44.12765957446808,4
openj9,unknown,org.eclipse.openj9.criu.CRIUSupport,28,55,608,6,1.5357142857142858,27,7,0,0,27,378,1.0,0,0,0.0,28,1.0,2,0.13895216400911162,21.714285714285715,3
openj9,unknown,org.eclipse.openj9.criu.CRIUDumpPermission,0,0,50,0,0,0,0,0,1,0,0,0,1,0,0,0,1.0,0,0,0,3
openj9,unknown,org.eclipse.openj9.criu.JVMCRIUException,2,2,60,1,1.0,0,0,0,1,0,1,1.0,1,0,0.0,2,1.0,0,0,30.0,2
openj9,unknown,org.eclipse.openj9.criu.SystemRestoreException,0,0,60,0,0,0,0,0,1,0,0,0,1,0,1.0,0,1.0,0,0,0,2
openj9,unknown,org.eclipse.openj9.criu.JVMRestoreException,0,0,60,0,0,0,1,0,1,0,0,0,1,0,1.0,0,1.0,0,0,0,2
openj9,unknown,org.eclipse.openj9.criu.JVMCheckpointException,0,0,60,0,0,0,3,0,1,0,0,0,1,0,1.0,0,1.0,0,0,0,2
openj9,unknown,org.eclipse.openj9.criu.SystemCheckpointException,0,0,61,0,0,0,0,0,1,0,0,0,1,0,1.0,0,1.0,0,0,0,2
openj9,unknown,com.ibm.oti.shared.SharedClassURLClasspathHelperImpl,17,44,450,18,3.7058823529411766,27,0,0,1,11,136,1.0,1,0,0.0,7,1.0,2,0.19133574007220217,26.470588235294116,2
openj9,unknown,com.ibm.oti.shared.SharedAbstractHelper,11,23,148,3,1.6363636363636365,12,0,0,0,14,55,1.0,0,0,0.0,1,0.5714285714285714,4,0.2413793103448276,13.454545454545455,6
openj9,unknown,com.ibm.oti.shared.SharedClassCacheInfo,15,15,300,3,1.2,0,0,0,0,0,105,1.0,0,0,0.0,15,0.5833333333333334,1,0,20.0,4
openj9,unknown,com.ibm.oti.shared.SharedAbstractHelperFactory,4,7,75,3,1.5,3,0,0,0,3,6,1.0,0,0,0.0,0,1.0,1,0.6,18.75,6
openj9,unknown,com.ibm.oti.shared.SharedClassPermission,6,10,193,5,2.0,4,1,0,1,2,15,1.0,1,0,0.0,5,1.0,0,0.0,32.166666666666664,5
openj9,unknown,com.ibm.oti.shared.SharedClassUtilities,5,10,253,5,2.4,5,0,0,0,2,10,1.0,0,0,0.0,2,0.1,0,0.8571428571428571,50.6,6
openj9,unknown,com.ibm.oti.shared.SharedClassStatistics,20,35,185,5,1.25,15,2,0,0,11,190,1.0,0,0,0.0,11,0,0,0,9.25,5
openj9,unknown,com.ibm.oti.shared.SharedDataHelperFactoryImpl,1,6,73,5,5.0,5,0,0,1,0,0,0,1,0,0.0,1,1.0,1,0,73.0,2
openj9,unknown,com.ibm.oti.shared.Shared,4,5,107,2,1.5,1,15,0,0,2,6,1.0,0,0,0.0,3,1.0,4,0,26.75,5
openj9,unknown,com.ibm.oti.shared.SharedClassPermissionCollection,3,12,104,3,2.3333333333333335,9,0,0,1,3,3,1.0,1,0,0.0,3,1.0,1,1.0,34.666666666666664,5
openj9,unknown,com.ibm.oti.shared.HelperAlreadyDefinedException,0,0,39,0,0,0,14,0,1,0,0,0,1,0,1.0,0,1.0,0,0,0,5
openj9,unknown,com.ibm.oti.shared.SharedDataHelperImpl,5,14,113,6,2.8,9,0,0,1,2,10,1.0,1,0,0.16666666666666666,2,0,0,0.42105263157894735,22.6,2
openj9,unknown,com.ibm.oti.shared.SharedClassURLHelperImpl,10,32,206,9,2.8,22,0,0,1,6,45,1.0,1,0,0.0,5,0.6666666666666666,1,0.38,20.6,2
openj9,unknown,com.ibm.oti.shared.SharedClassTokenHelperImpl,5,15,129,8,3.2,10,0,0,1,2,10,1.0,1,0,0.0,2,0,0,0.3448275862068966,25.8,2
openj9,unknown,com.ibm.oti.shared.SharedClassAbstractHelper,10,37,271,10,3.2,27,0,0,1,4,45,1.0,1,0,0.09090909090909091,3,0.5714285714285714,1,0.07317073170731707,27.1,5
openj9,unknown,com.ibm.oti.shared.CannotSetClasspathException,0,0,40,0,0,0,3,0,1,0,0,0,1,0,1.0,0,1.0,0,0,0,5
