File,loc,v(g),ev(g),iv(g),n,v,l,d,i,e,b,t,lOComment,lOBlank,LOCodeAndCOmment,uniq_Op,Uniq_Opnd,total_Op,total_Opnd,branchCount,defects
tools/dxgi.cpp,59,1,1,10,484,3201.52,0.00,242.00,13.23,774767.73,2.81,43042.65,5,16,64,26,72,298,186,7,true
tools/audio.cpp,244,11,1,24,1374,10482.74,0.00,687.00,15.26,7201639.63,3.00,400091.09,9,56,253,36,162,878,496,50,true
tools/sunshinesvc.cpp,245,57,26,41,1439,11159.28,0.00,719.50,15.51,8029104.20,3.00,446061.34,59,62,304,35,181,920,519,70,true
tests/tests_main.cpp,9,5,5,7,54,250.77,0.04,27.00,9.29,6770.74,0.12,376.15,4,1,13,12,13,36,18,1,false
tests/tests_events.h,49,19,17,30,421,2630.38,0.00,210.50,12.50,553694.46,2.25,30760.80,4,12,53,17,59,278,143,10,false
tests/tests_environment.h,13,1,1,4,75,364.35,0.03,37.50,9.72,13663.07,0.19,759.06,4,3,17,10,19,50,25,1,false
tests/unit/test_mouse.cpp,89,7,5,16,573,3558.02,0.00,286.50,12.42,1019371.81,3.00,56631.77,11,23,100,20,54,353,220,7,true
tests/unit/test_logging.cpp,35,10,10,13,222,1321.83,0.01,111.00,11.91,146723.31,0.93,8151.29,4,8,39,18,44,155,67,1,true
tests/unit/test_httpcommon.cpp,53,14,14,12,301,1770.68,0.01,150.50,11.77,266486.67,1.38,14804.82,8,12,61,19,40,208,93,4,true
tests/unit/test_display_device.cpp,419,225,213,17,7334,57068.49,0.00,3667.00,15.56,209270160.67,3.00,11626120.04,35,57,454,25,195,5066,2268,19,true
tests/unit/test_video.cpp,39,11,8,10,162,944.93,0.01,81.00,11.67,76539.18,0.60,4252.18,7,4,46,23,34,112,50,6,true
tests/unit/test_file_handler.cpp,76,28,27,18,437,2622.00,0.00,218.50,12.00,572907.00,2.30,31828.17,6,14,82,17,47,309,128,8,true
tests/unit/test_entry_handler.cpp,9,5,5,4,52,228.40,0.04,26.00,8.78,5938.41,0.11,329.91,6,3,15,11,10,36,16,2,false
tests/unit/test_audio.cpp,56,14,10,18,467,3060.99,0.00,233.50,13.11,714741.86,2.66,39707.88,5,8,61,25,69,321,146,7,false
tests/unit/platform/test_common.cpp,41,18,16,16,290,1752.87,0.01,145.00,12.09,254166.77,1.34,14120.38,6,8,47,23,43,201,89,7,true
tests/unit/test_rswrapper.cpp,22,1,1,7,131,692.39,0.02,65.50,10.57,45351.39,0.42,2519.52,6,8,28,14,25,83,48,2,false
tests/unit/test_stream.cpp,29,3,3,3,308,1639.15,0.01,154.00,10.64,252429.69,1.33,14023.87,4,6,33,14,26,215,93,3,false
tests/unit/test_http_pairing.cpp,202,22,18,21,1251,8347.20,0.00,625.50,13.34,5221176.17,3.00,290065.34,38,27,240,21,81,873,378,11,false
tests/unit/test_network.cpp,20,12,12,8,133,692.86,0.02,66.50,10.42,46075.01,0.43,2559.72,4,4,24,15,22,100,33,1,true
tests/tests_common.h,20,1,1,5,105,542.84,0.02,52.50,10.34,28499.21,0.31,1583.29,4,3,24,12,24,66,39,2,false
tests/tests_log_checker.h,76,49,35,15,500,2988.64,0.00,250.00,11.95,747159.99,2.74,41508.89,36,17,112,22,41,365,135,34,false
src/cbs.cpp,178,1,1,15,1389,10170.16,0.00,694.50,14.64,7063174.82,3.00,392398.60,15,57,193,27,133,863,526,33,true
src/httpcommon.h,20,1,1,8,105,551.03,0.02,52.50,10.50,28929.20,0.31,1607.18,6,7,26,13,25,75,30,1,true
src/input.h,22,1,1,9,159,919.24,0.01,79.50,11.56,73079.28,0.58,4059.96,14,12,36,16,39,104,55,1,true
src/system_tray.h,17,1,1,15,98,465.98,0.02,49.00,9.51,22832.97,0.27,1268.50,63,14,80,7,20,57,41,11,true
src/round_robin.h,137,21,16,7,689,4291.66,0.00,344.50,12.46,1478475.52,3.00,82137.53,10,44,147,30,45,442,247,15,true
src/uuid.h,53,12,10,14,472,2975.38,0.00,236.00,12.61,702190.75,2.63,39010.60,8,20,61,22,57,308,164,7,true
src/crypto.h,87,1,1,22,737,5107.95,0.00,368.50,13.86,1882280.83,3.00,104571.16,36,34,123,19,103,458,279,8,true
src/logging.h,111,33,24,28,837,5801.03,0.00,418.50,13.86,2427729.86,3.00,134873.88,85,29,196,25,97,559,278,25,true
src/nvhttp.cpp,916,53,21,62,2836,24723.33,0.00,1418.00,17.44,35057682.42,3.00,1947649.02,61,236,977,34,387,1744,1092,205,true
src/stat_trackers.cpp,9,5,5,2,38,140.62,0.05,19.00,7.40,2671.72,0.06,148.43,5,4,14,7,6,26,12,3,false
src/move_by_copy.h,35,6,6,3,202,1067.65,0.01,101.00,10.57,107832.78,0.76,5990.71,13,12,48,16,23,124,78,6,true
src/network.cpp,165,100,75,27,1087,7760.69,0.00,543.50,14.28,4217936.28,3.00,234329.79,23,38,188,32,109,743,344,67,true
src/rtsp.cpp,780,185,108,79,7328,64469.26,0.00,3664.00,17.60,236215382.06,3.00,13123076.78,162,252,942,42,403,4727,2601,206,true
src/task_pool.h,181,52,38,31,1483,10541.94,0.00,741.50,14.22,7816849.82,3.00,434269.43,15,63,196,33,105,1011,472,28,true
src/thread_pool.h,91,29,19,16,527,3341.10,0.00,263.50,12.68,880380.10,3.00,48910.01,11,27,102,24,57,361,166,26,true
src/confighttp.cpp,769,19,5,32,1972,16130.78,0.00,986.00,16.36,15904949.80,3.00,883608.32,319,162,1088,30,260,1193,779,168,true
src/crypto.cpp,331,316,275,91,3080,24587.62,0.00,1540.00,15.97,37864935.12,3.00,2103607.51,50,130,381,32,221,2088,992,86,true
src/rswrapper.h,16,1,1,4,103,532.50,0.02,51.50,10.34,27423.87,0.30,1523.55,10,6,26,8,28,52,51,2,false
src/main.h,2,1,1,2,10,33.22,0.20,5.00,6.64,166.10,0.01,9.23,12,1,14,7,3,7,3,1,true
src/nvenc/nvenc_utils.cpp,63,5,2,2,289,1771.36,0.01,144.50,12.26,255961.92,1.34,14220.11,10,20,73,17,53,178,111,22,false
src/nvenc/nvenc_d3d11.h,23,1,1,6,95,530.57,0.02,47.50,11.17,25202.14,0.29,1400.12,14,9,37,13,35,51,44,1,true
src/nvenc/nvenc_base.h,54,1,1,10,257,1676.56,0.01,128.50,13.05,215437.37,1.20,11968.74,78,23,132,16,76,143,114,13,false
src/nvenc/nvenc_d3d11_native.h,18,1,1,4,60,305.25,0.03,30.00,10.17,9157.43,0.15,508.75,12,7,30,11,23,31,29,2,false
