File,loc,v(g),ev(g),iv(g),n,v,l,d,i,e,b,t,lOComment,lOBlank,LOCodeAndCOmment,uniq_Op,Uniq_Opnd,total_Op,total_Opnd,branchCount,defects
debugtools/DDR_VM/binary_operation_investigation/j9_types.hpp,11,1,1,1,34,125.81,0.06,17,7.4,2138.85,0.06,118.83,22,4,33,1,12,11,23,1,FALSE
debugtools/DDR_VM/binary_operation_investigation/test_suite.cpp,6411,1,1,1,42771,258524.78,0,21385.5,12.09,5528681701,3,307148983.4,41,277,6452,16,50,23571,19200,1,FALSE
debugtools/DDR_VM/binary_operation_investigation/arith_template.hpp,28,31,31,3,332,1790.25,0.01,166,10.78,297181.4,1.48,16510.08,21,6,49,11,31,207,125,2,FALSE
debugtools/DDR_VM/binary_operation_investigation/type_conversion_explorer.cpp,45,15,15,3,386,2054.26,0.01,193,10.64,396473,1.8,22026.28,26,12,71,12,28,248,138,2,FALSE
debugtools/DDR_VM/zos_address_space_packer/multi_as.c,133,1,1,16,750,4915.94,0,375,13.11,1843478.11,3,102415.45,38,48,171,28,66,466,284,29,FALSE
runtime/jitserver_launcher/jitserver.c,277,48,8,22,1451,10329.58,0,725.5,14.24,7494112.83,3,416339.6,46,47,323,36,103,932,519,79,FALSE
runtime/verutil/sigverify.c,190,47,18,3,1012,6633.24,0,506,13.11,3356421.42,3,186467.86,54,34,244,36,58,638,374,66,FALSE
runtime/verutil/cfrerr.c,211,1,1,8,1414,9833.23,0,707,13.91,6952096.14,3,386227.56,27,43,238,25,99,796,618,26,TRUE
runtime/verutil/chverify.c,99,33,17,2,435,2638.75,0,217.5,12.13,573927.86,2.3,31884.88,70,14,169,31,36,289,146,58,TRUE
runtime/oti/bcnames.h,245,1,1,1,484,4306.56,0,242,17.8,1042186.84,3,57899.27,27,7,272,6,471,10,474,1,FALSE
runtime/oti/gp.h,11,1,1,3,46,216.22,0.04,23,9.4,4973.07,0.1,276.28,21,5,32,5,21,20,26,1,FALSE
runtime/oti/j9argscan.h,26,1,1,17,207,1086.32,0.01,103.5,10.5,112434.22,0.78,6246.35,126,29,152,7,31,121,86,2,FALSE
runtime/oti/segment.h,20,17,17,17,122,573.45,0.02,61,9.4,34980.67,0.36,1943.37,21,11,41,3,23,60,62,1,FALSE
runtime/oti/jextractnatives_api.h,15,1,1,2,24,101.95,0.08,12,8.5,1223.4,0.04,67.97,38,9,53,7,12,9,15,3,FALSE
runtime/oti/ContinuationHelpers.hpp,310,40,15,20,1571,12086.47,0,785.5,15.39,9493920.62,3,527440.03,98,60,408,33,174,935,636,55,TRUE
runtime/oti/cfr.h,881,1,1,21,2498,24223.02,0,1249,19.39,30254558.08,3,1680808.78,27,88,908,13,817,732,1766,14,TRUE
runtime/oti/cassume_api.h,19,1,1,5,22,76.11,0.09,11,6.92,837.18,0.03,46.51,52,17,71,5,6,14,8,3,FALSE
runtime/oti/j9cfg_builder.h,100,44,40,23,364,2568.12,0.01,182,14.11,467398.35,2.01,25966.58,46,18,146,10,123,133,231,12,FALSE
runtime/oti/vmargs_core_api.h,47,1,1,7,166,999.71,0.01,83,12.04,82976.18,0.63,4609.79,61,16,108,10,55,75,91,7,FALSE
runtime/oti/j9segments.h,4,1,1,1,4,6.34,0.5,2,3.17,12.68,0,0.7,21,3,25,0,3,0,4,1,FALSE
runtime/oti/temp.h,8,1,1,1,10,31.7,0.2,5,6.34,158.5,0.01,8.81,21,4,29,0,9,0,10,1,FALSE
