File,loc,v(g),ev(g),iv(g),n,v,l,d,i,e,b,t,lOComment,lOBlank,LOCodeAndCOmment,uniq_Op,Uniq_Opnd,total_Op,total_Opnd,branchCount,defects
runtime/gc_trace/TgcBacktrace.cpp,39,6,5,8,215,1225.59,0.01,107.50,11.40,131751.41,0.86,7319.52,35,9,74,13,39,134,81,3,false
runtime/gc_trace/TgcCopyForward.cpp,44,10,7,12,228,1383.07,0.01,114.00,12.13,157669.79,0.97,8759.43,29,12,73,19,48,142,86,4,false
runtime/gc_trace/TgcCardCleaning.cpp,61,10,7,19,389,2525.33,0.01,194.50,12.98,491176.85,2.08,27287.60,23,19,84,22,68,234,155,6,false
runtime/gc_trace/Tgc.hpp,8,3,2,7,49,208.15,0.04,24.50,8.50,5099.64,0.10,283.31,25,5,33,7,12,28,21,2,false
runtime/gc_trace/TgcNuma.hpp,14,1,1,3,46,213.62,0.04,23.00,9.29,4913.20,0.10,272.96,28,6,42,8,17,21,25,3,false
runtime/gc_trace/TgcAllocationContext.hpp,4,3,2,3,14,48.43,0.14,7.00,6.92,339.02,0.02,18.83,25,5,29,6,5,8,6,2,false
runtime/gc_trace/TgcRootScanner.cpp,120,19,10,19,623,4148.07,0.00,311.50,13.32,1292122.48,3.00,71784.58,33,23,153,27,74,406,217,22,false
runtime/gc_trace/TgcHeap.cpp,277,26,9,51,1853,14502.59,0.00,926.50,15.65,13436653.66,3.00,746480.76,22,63,299,33,194,1127,726,29,false
runtime/gc_trace/TgcBacktrace.hpp,7,1,1,3,24,100.08,0.08,12.00,8.34,1200.94,0.04,66.72,25,6,32,8,10,12,12,2,false
runtime/gc_trace/TgcCardCleaning.hpp,4,3,2,3,15,53.77,0.13,7.50,7.17,403.31,0.02,22.41,32,4,36,6,6,8,7,3,false
runtime/gc_trace/TgcAllocation.hpp,4,3,2,3,14,48.43,0.14,7.00,6.92,339.02,0.02,18.83,21,3,25,6,5,8,6,2,false
runtime/gc_trace/TgcScavenger.hpp,9,1,1,5,38,164.23,0.05,19.00,8.64,3120.43,0.07,173.36,28,7,37,8,12,20,18,3,false
runtime/gc_trace/TgcExclusiveaccess.cpp,39,1,1,10,226,1350.87,0.01,113.00,11.95,152647.77,0.95,8480.43,31,10,70,16,47,134,92,2,false
runtime/gc_trace/TgcNuma.cpp,85,15,5,24,635,4346.89,0.00,317.50,13.69,1380136.36,3.00,76674.24,40,18,125,25,90,392,243,15,false
runtime/gc_trace/TgcHeap.hpp,4,3,2,3,14,48.43,0.14,7.00,6.92,339.02,0.02,18.83,25,4,29,6,5,8,6,2,false
runtime/gc_trace/TgcExtensions.hpp,112,1,1,9,357,2465.76,0.01,178.50,13.81,440138.15,1.93,24452.12,102,27,214,13,107,189,168,49,false
runtime/gc_trace/TgcCopyForward.hpp,6,5,3,3,19,68.11,0.11,9.50,7.17,647.09,0.02,35.95,25,5,31,6,6,11,8,3,false
runtime/gc_trace/TgcAllocationContext.cpp,28,6,5,8,142,770.53,0.01,71.00,10.85,54707.60,0.48,3039.31,28,11,56,12,31,88,54,2,false
runtime/gc_trace/TgcTerse.cpp,144,1,1,18,1116,7597.01,0.00,558.00,13.61,4239130.52,3.00,235507.25,54,31,198,20,92,657,459,7,false
runtime/gc_trace/Tgc.cpp,364,184,98,53,1655,11899.16,0.00,827.50,14.38,9846554.61,3.00,547030.81,39,82,403,26,120,1143,512,128,false
runtime/gc_trace/TgcExcessivegc.cpp,58,4,4,6,384,2337.59,0.01,192.00,12.17,448816.46,1.95,24934.25,41,12,99,14,54,230,154,3,false
runtime/gc_trace/TgcParallel.cpp,398,85,36,36,2974,23792.00,0.00,1487.00,16.00,35378704.00,3.00,1965483.56,42,58,440,30,226,1791,1183,71,true
runtime/gc_trace/TgcTerse.hpp,7,1,1,3,24,100.08,0.08,12.00,8.34,1200.94,0.04,66.72,28,6,35,8,10,12,12,2,false
runtime/gc_trace/TgcRootScanner.hpp,4,3,2,3,14,48.43,0.14,7.00,6.92,339.02,0.02,18.83,32,4,36,6,5,8,6,3,false
runtime/gc_trace/TgcScavenger.cpp,244,21,1,22,1619,11809.99,0.00,809.50,14.59,9560187.71,3.00,531121.54,88,54,332,33,124,1008,611,58,false
