File,loc,v(g),ev(g),iv(g),n,v,l,d,i,e,b,t,lOComment,lOBlank,LOCodeAndCOmment,uniq_Op,Uniq_Opnd,total_Op,total_Opnd,branchCount,defects
benchmark/runtime/cost_functions.cc,96,3,1,16,701,4481.01,0.00,350.50,12.78,1570595.59,3.00,87255.31,0,15,96,19,65,430,271,10,true
src/thirdparty/SiftGPU/FrameBufferObject.h,22,1,1,11,92,471.89,0.02,46.00,10.26,21707.13,0.26,1205.95,22,5,44,11,24,49,43,4,true
src/thirdparty/SiftGPU/SiftMatchCU.h,35,1,1,11,212,1281.41,0.01,106.00,12.09,135829.62,0.88,7546.09,25,8,60,16,50,120,92,5,true
src/thirdparty/SiftGPU/FrameBufferObject.cpp,62,16,11,6,281,1585.92,0.01,140.50,11.29,222822.26,1.23,12379.01,26,17,88,17,33,172,109,7,true
src/thirdparty/SiftGPU/SiftPyramid.cpp,296,61,19,47,1852,14143.03,0.00,926.00,15.27,13096444.67,3.00,727580.26,50,60,346,37,162,1235,617,51,true
src/thirdparty/SiftGPU/SiftMatch.cpp,553,66,6,40,3356,26329.46,0.00,1678.00,15.69,44180841.62,3.00,2454491.20,49,98,602,36,194,2094,1262,97,true
src/thirdparty/SiftGPU/GlobalUtil.h,114,1,1,16,393,2772.73,0.01,196.50,14.11,544840.66,2.22,30268.93,28,15,142,20,113,237,156,13,true
src/thirdparty/SiftGPU/ShaderMan.h,44,1,1,31,273,1767.88,0.01,136.50,12.95,241314.97,1.29,13406.39,29,7,73,12,77,158,115,5,true
src/thirdparty/SiftGPU/PyramidCU.h,56,1,1,32,303,1957.21,0.01,151.50,12.92,296516.98,1.48,16473.17,22,8,78,15,73,170,133,6,true
src/thirdparty/SiftGPU/CLTexImage.h,53,1,1,15,252,1549.74,0.01,126.00,12.30,195266.77,1.12,10848.15,24,6,77,12,59,146,106,14,true
src/thirdparty/SiftGPU/GLTexImage.cpp,1037,32,1,59,7167,59010.35,0.00,3583.50,16.47,211463597.19,3.00,11747977.62,55,167,1092,42,259,4354,2813,135,true
src/thirdparty/SiftGPU/SiftMatch.h,56,1,1,12,276,1778.25,0.01,138.00,12.89,245398.83,1.31,13633.27,27,10,83,15,72,145,131,3,true
src/thirdparty/SiftGPU/ProgramGPU.h,21,1,1,3,90,412.65,0.02,45.00,9.17,18569.10,0.23,1031.62,32,6,53,10,14,53,37,8,true
src/thirdparty/SiftGPU/CLTexImage.cpp,166,25,2,21,1088,7603.69,0.00,544.00,13.98,4136406.78,3.00,229800.38,24,39,190,28,99,665,423,25,true
src/thirdparty/SiftGPU/LiteWindow.h,11,5,5,1,52,241.48,0.04,26.00,9.29,6278.49,0.11,348.81,0,2,11,12,13,35,17,5,true
src/thirdparty/SiftGPU/ProgramCG.cpp,2226,1,1,55,14576,131306.86,0.00,7288.00,18.02,956964363.58,3.00,53164686.87,213,326,2439,42,473,7937,6639,354,true
src/thirdparty/SiftGPU/PyramidGL.cpp,2125,159,1,104,14954,133417.21,0.00,7477.00,17.84,997560474.48,3.00,55420026.36,255,424,2380,48,437,9443,5511,376,true
src/thirdparty/SiftGPU/ProgramCL.cpp,1325,75,1,52,7190,61966.19,0.00,3595.00,17.24,222768459.38,3.00,12376025.52,76,191,1401,38,355,4258,2932,208,true
src/thirdparty/SiftGPU/CuTexImage.h,47,1,1,13,201,1219.28,0.01,100.50,12.13,122538.03,0.82,6807.67,24,7,71,15,52,112,89,7,true
src/thirdparty/SiftGPU/GLTexImage.h,113,8,7,39,659,4670.64,0.00,329.50,14.17,1538975.23,3.00,85498.62,34,11,147,20,116,387,272,21,true
src/thirdparty/SiftGPU/ProgramCL.h,129,1,1,51,824,6105.34,0.00,412.00,14.82,2515399.31,3.00,139744.41,24,11,153,18,152,449,375,13,true
src/thirdparty/SiftGPU/PyramidCU.cpp,929,116,1,66,6497,54524.89,0.00,3248.50,16.78,177124093.13,3.00,9840227.40,98,169,1027,47,289,4111,2386,193,true
src/thirdparty/SiftGPU/ShaderMan.cpp,214,63,42,31,1245,9115.80,0.00,622.50,14.64,5674585.80,3.00,315254.77,45,90,259,20,140,790,455,25,true
src/thirdparty/SiftGPU/PyramidCL.cpp,697,61,1,60,4770,39387.74,0.00,2385.00,16.51,93939759.92,3.00,5218875.55,283,152,980,45,261,2997,1773,178,true
src/thirdparty/SiftGPU/PyramidCL.h,53,1,1,30,275,1743.46,0.01,137.50,12.68,239725.58,1.29,13318.09,21,9,74,14,67,152,123,4,true
src/thirdparty/SiftGPU/ProgramGLSL.h,201,1,1,42,1083,8130.94,0.00,541.50,15.02,4402904.87,3.00,244605.83,47,19,248,19,163,591,492,21,true
src/thirdparty/SiftGPU/GlobalUtil.cpp,352,14,1,31,2052,16310.05,0.00,1026.00,15.90,16734110.85,3.00,929672.82,48,67,400,41,206,1353,699,68,true
src/thirdparty/SiftGPU/ProgramCG.h,124,1,1,35,659,4642.26,0.00,329.50,14.09,1529623.26,3.00,84979.07,25,12,149,17,115,348,311,10,true
src/thirdparty/SiftGPU/SiftGPU.cpp,1187,272,127,95,6721,59513.57,0.00,3360.50,17.71,199995353.34,3.00,11110852.96,68,182,1255,47,416,4376,2345,245,true
src/thirdparty/SiftGPU/SiftMatchCU.cpp,153,43,14,16,1230,8510.20,0.00,615.00,13.84,5233774.10,3.00,290765.23,23,25,176,32,89,778,452,47,true
src/thirdparty/SiftGPU/PyramidGL.h,88,1,1,33,461,2977.80,0.00,230.50,12.92,686382.43,2.59,38132.36,22,9,110,12,76,267,194,4,true
src/thirdparty/SiftGPU/CuTexImage.cpp,226,25,2,22,1227,8709.29,0.00,613.50,14.20,5343146.57,3.00,296841.48,24,44,250,26,111,757,470,32,true
src/thirdparty/SiftGPU/ProgramGLSL.cpp,2144,146,1,90,14146,129999.26,0.00,7073.00,18.38,919484753.32,3.00,51082486.30,200,346,2344,40,544,7946,6200,346,true
src/thirdparty/SiftGPU/ProgramCU.h,40,1,1,27,382,2479.89,0.01,191.00,12.98,473658.59,2.03,26314.37,26,8,66,13,77,208,174,4,true
src/thirdparty/SiftGPU/SiftGPU.h,207,1,1,60,1004,7932.47,0.00,502.00,15.80,3982100.08,3.00,221227.78,151,34,358,21,218,535,469,34,true
src/thirdparty/SiftGPU/SiftPyramid.h,129,1,1,34,784,5652.21,0.00,392.00,14.42,2215666.88,3.00,123092.60,46,15,175,25,123,459,325,28,true
src/thirdparty/PoissonRecon/SparseMatrix.h,136,24,18,22,1715,11674.61,0.00,857.50,13.61,10010981.24,3.00,556165.62,23,35,159,25,87,982,733,10,true
src/thirdparty/PoissonRecon/MultiGridOctreeData.h,523,1,1,104,6851,60578.94,0.00,3425.50,17.68,207513166.52,3.00,11528509.25,94,54,617,36,423,3981,2870,58,true
src/thirdparty/PoissonRecon/Factor.cpp,205,1,1,8,2388,16286.59,0.00,1194.00,13.64,19446185.31,3.00,1080343.63,35,24,240,29,84,1456,932,61,true
