File,loc,v(g),ev(g),iv(g),n,v,l,d,i,e,b,t,lOComment,lOBlank,LOCodeAndCOmment,uniq_Op,Uniq_Opnd,total_Op,total_Opnd,branchCount,defects
src/jdk.attach/windows/native/libattach/AttachProviderImpl.c,124,21,4,15,641,4201.49,0.00,320.50,13.11,1346578.01,3.00,74809.89,48,13,172,25,69,388,253,37,false
src/jdk.attach/windows/native/libattach/VirtualMachineImpl.c,441,97,42,55,2519,20541.99,0.00,1259.50,16.31,25872632.40,3.00,1437368.47,165,85,606,38,247,1562,957,102,true
src/jdk.attach/macosx/native/libattach/VirtualMachineImpl.c,218,64,32,33,1343,9962.18,0.00,671.50,14.84,6689601.14,3.00,371644.51,102,41,320,30,141,819,524,64,true
src/jdk.attach/aix/native/libattach/VirtualMachineImpl.c,159,41,17,26,950,6702.52,0.00,475.00,14.11,3183696.20,3.00,176872.01,71,24,230,28,105,573,377,45,true
src/jdk.attach/linux/native/libattach/VirtualMachineImpl.c,159,41,17,25,943,6653.13,0.00,471.50,14.11,3136951.43,3.00,174275.08,73,26,232,28,105,568,375,46,true
src/java.base/windows/native/libjli/java_md.h,16,2,2,3,46,213.62,0.04,23.00,9.29,4913.20,0.10,272.96,27,7,43,9,16,24,22,3,false
src/java.base/windows/native/libjli/java_md.c,665,214,118,70,3389,28126.02,0.00,1694.50,16.60,47659534.07,3.00,2647751.89,237,113,902,35,280,2220,1169,202,true
src/java.base/windows/native/libjli/cmdtoargs.c,452,1,1,23,2931,21641.64,0.00,1465.50,14.77,31715819.44,3.00,1761989.97,134,120,586,36,131,1800,1131,128,false
src/java.base/windows/native/libnio/MappedMemoryUtils.c,65,13,6,11,364,2281.11,0.01,182.00,12.53,415162.07,1.86,23064.56,44,11,109,26,51,227,137,14,true
src/java.base/windows/native/libnio/fs/RegistryFileTypeDetector.c,30,3,1,7,180,1075.91,0.01,90.00,11.95,96831.93,0.70,5379.55,24,8,54,18,45,104,76,9,false
src/java.base/windows/native/libnio/fs/WindowsNativeDispatcher.c,1061,316,227,87,6678,58815.52,0.00,3339.00,17.61,196385008.49,3.00,10910278.25,33,176,1094,27,421,3899,2779,141,false
src/java.base/windows/native/libnio/ch/nio_util.h,20,1,1,10,168,975.64,0.01,84.00,11.61,81953.39,0.63,4552.97,31,9,51,12,44,83,85,4,false
src/java.base/windows/native/libnio/ch/Iocp.c,109,16,8,17,613,4017.96,0.00,306.50,13.11,1231505.65,3.00,68416.98,25,21,134,24,70,363,250,17,false
src/java.base/windows/native/libnio/ch/DatagramChannelImpl.c,116,19,5,14,657,4365.01,0.00,328.50,13.29,1433906.94,3.00,79661.50,38,16,154,24,76,394,263,28,true
src/java.base/windows/native/libnio/ch/FileDispatcherImpl.c,638,68,1,40,3358,27175.48,0.00,1679.00,16.19,45627628.37,3.00,2534868.24,36,80,674,34,239,1971,1387,153,false
